Dates	Time	Flow	fTHg
10d	8s	6n	6n
2016-01-20	13:30	476	8.7
2016-01-23	11:00	56	6.3
2016-01-24	8:40	55	4.7
2016-02-02	15:00	498	4.4
2016-02-03	14:00	430	6.6
2016-02-04	12:40	256	7.5
2016-03-07	13:40	541	7.1
2016-03-08	14:20	551	11
2016-03-09	14:00	556	9.8
2016-03-10	15:40	549	8.5
2016-03-12	14:20	589	8.5
2016-03-13	13:10	583	9.1
2016-03-14	13:30	576	6.2
2016-03-15	13:20	568	6.5
2016-03-17	14:20	553	2.8
2016-04-06	13:00	473	2.8
2016-12-15	16:40	79	5.9
2016-12-16	17:20	233	3.6
2016-12-17	16:00	0.6	12
2017-01-09	17:50	0.7	10
2017-01-10	15:40	0.7	6.9
2017-01-11	16:40	0.7	8.4
2017-02-01	14:10	0.7	1.3
2017-02-08	14:40	0.7	6.4
2017-02-10	15:20	0.7	6.1
2017-02-21	13:50	0.7	5.3
2017-03-16	16:40	236	1.6
2017-04-04	15:50	232	1.7
2017-04-26	14:30	223	2.0
