Site	Dates	Flow
10s	10d	6n
11452900	2015-10-01	0
11452900	2015-10-02	0
11452900	2015-10-03	0
11452900	2015-10-04	0
11452900	2015-10-05	0
11452900	2015-10-06	0
11452900	2015-10-07	0
11452900	2015-10-08	0
11452900	2015-10-09	0
11452900	2015-10-10	0
11452900	2015-10-11	0
11452900	2015-10-12	0
11452900	2015-10-13	0
11452900	2015-10-14	0
11452900	2015-10-15	0
11452900	2015-10-16	0
11452900	2015-10-17	0
11452900	2015-10-18	0
11452900	2015-10-19	0
11452900	2015-10-20	0
11452900	2015-10-21	0
11452900	2015-10-22	0
11452900	2015-10-23	0
11452900	2015-10-24	0
11452900	2015-10-25	0
11452900	2015-10-26	0
11452900	2015-10-27	0
11452900	2015-10-28	0
11452900	2015-10-29	0
11452900	2015-10-30	0
11452900	2015-10-31	0
11452900	2015-11-01	0
11452900	2015-11-02	0
11452900	2015-11-03	0
11452900	2015-11-04	0
11452900	2015-11-05	0
11452900	2015-11-06	0
11452900	2015-11-07	0
11452900	2015-11-08	0
11452900	2015-11-09	0
11452900	2015-11-10	0
11452900	2015-11-11	0
11452900	2015-11-12	0
11452900	2015-11-13	0
11452900	2015-11-14	0
11452900	2015-11-15	0
11452900	2015-11-16	0
11452900	2015-11-17	0
11452900	2015-11-18	0
11452900	2015-11-19	0
11452900	2015-11-20	0
11452900	2015-11-21	0
11452900	2015-11-22	0
11452900	2015-11-23	0
11452900	2015-11-24	0
11452900	2015-11-25	0
11452900	2015-11-26	0
11452900	2015-11-27	0
11452900	2015-11-28	0
11452900	2015-11-29	0
11452900	2015-11-30	0
11452900	2015-12-01	0
11452900	2015-12-02	0
11452900	2015-12-03	0
11452900	2015-12-04	0
11452900	2015-12-05	0
11452900	2015-12-06	0
11452900	2015-12-07	0
11452900	2015-12-08	0
11452900	2015-12-09	0
11452900	2015-12-10	0
11452900	2015-12-11	0
11452900	2015-12-12	0
11452900	2015-12-13	0
11452900	2015-12-14	0
11452900	2015-12-15	0
11452900	2015-12-16	0
11452900	2015-12-17	0
11452900	2015-12-18	0
11452900	2015-12-19	0
11452900	2015-12-20	0
11452900	2015-12-21	0
11452900	2015-12-22	0
11452900	2015-12-23	0
11452900	2015-12-24	0
11452900	2015-12-25	0
11452900	2015-12-26	0
11452900	2015-12-27	0
11452900	2015-12-28	0
11452900	2015-12-29	0
11452900	2015-12-30	0
11452900	2015-12-31	0
11452900	2016-01-01	0
11452900	2016-01-02	0
11452900	2016-01-03	0
11452900	2016-01-04	0
11452900	2016-01-05	0
11452900	2016-01-06	0
11452900	2016-01-07	0
11452900	2016-01-08	0
11452900	2016-01-09	0
11452900	2016-01-10	0
11452900	2016-01-11	0
11452900	2016-01-12	0
11452900	2016-01-13	0
11452900	2016-01-14	0
11452900	2016-01-15	0
11452900	2016-01-16	8.7
11452900	2016-01-17	82.6
11452900	2016-01-18	69.0
11452900	2016-01-19	57.0
11452900	2016-01-20	158
11452900	2016-01-21	107
11452900	2016-01-22	97.0
11452900	2016-01-23	56.1
11452900	2016-01-24	55.0
11452900	2016-01-25	54.7
11452900	2016-01-26	54.4
11452900	2016-01-27	53.6
11452900	2016-01-28	55.0
11452900	2016-01-29	52.8
11452900	2016-01-30	53.1
11452900	2016-01-31	53.1
11452900	2016-02-01	280
11452900	2016-02-02	495
11452900	2016-02-03	436
11452900	2016-02-04	264
11452900	2016-02-05	105
11452900	2016-02-06	48.3
11452900	2016-02-07	22.3
11452900	2016-02-08	11.2
11452900	2016-02-09	5.3
11452900	2016-02-10	2.0
11452900	2016-02-11	0.4
11452900	2016-02-12	0
11452900	2016-02-13	0
11452900	2016-02-14	0
11452900	2016-02-15	0
11452900	2016-02-16	0
11452900	2016-02-17	0
11452900	2016-02-18	0
11452900	2016-02-19	0
11452900	2016-02-20	0
11452900	2016-02-21	0
11452900	2016-02-22	0
11452900	2016-02-23	0
11452900	2016-02-24	0
11452900	2016-02-25	0
11452900	2016-02-26	0
11452900	2016-02-27	0
11452900	2016-02-28	0
11452900	2016-02-29	0
11452900	2016-03-01	0
11452900	2016-03-02	0
11452900	2016-03-03	0
11452900	2016-03-04	8.2
11452900	2016-03-05	46.6
11452900	2016-03-06	221
11452900	2016-03-07	534
11452900	2016-03-08	552
11452900	2016-03-09	553
11452900	2016-03-10	553
11452900	2016-03-11	577
11452900	2016-03-12	592
11452900	2016-03-13	590
11452900	2016-03-14	590
11452900	2016-03-15	580
11452900	2016-03-16	570
11452900	2016-03-17	560
11452900	2016-03-18	550
11452900	2016-03-19	540
11452900	2016-03-20	530
11452900	2016-03-21	528
11452900	2016-03-22	526
11452900	2016-03-23	524
11452900	2016-03-24	522
11452900	2016-03-25	519
11452900	2016-03-26	517
11452900	2016-03-27	516
11452900	2016-03-28	515
11452900	2016-03-29	514
11452900	2016-03-30	512
11452900	2016-03-31	512
11452900	2016-04-01	510
11452900	2016-04-02	505
11452900	2016-04-03	498
11452900	2016-04-04	491
11452900	2016-04-05	485
11452900	2016-04-06	469
11452900	2016-04-07	434
11452900	2016-04-08	334
11452900	2016-04-09	208
11452900	2016-04-10	157
11452900	2016-04-11	140
11452900	2016-04-12	125
11452900	2016-04-13	106
11452900	2016-04-14	85.7
11452900	2016-04-15	63.8
11452900	2016-04-16	42.3
11452900	2016-04-17	18.9
11452900	2016-04-18	7.9
11452900	2016-04-19	2.5
11452900	2016-04-20	1.0
11452900	2016-04-21	0.9
11452900	2016-04-22	0.9
11452900	2016-04-23	0.2
11452900	2016-04-24	0
11452900	2016-04-25	0
11452900	2016-04-26	0
11452900	2016-04-27	0
11452900	2016-04-28	0
11452900	2016-04-29	0
11452900	2016-04-30	0
11452900	2016-05-01	0
11452900	2016-05-02	0
11452900	2016-05-03	0
11452900	2016-05-04	0
11452900	2016-05-05	0
11452900	2016-05-06	0
11452900	2016-05-07	0
11452900	2016-05-08	0
11452900	2016-05-09	0
11452900	2016-05-10	0
11452900	2016-05-11	0
11452900	2016-05-12	0
11452900	2016-05-13	0
11452900	2016-05-14	0
11452900	2016-05-15	0
11452900	2016-05-16	0
11452900	2016-05-17	0
11452900	2016-05-18	0
11452900	2016-05-19	0
11452900	2016-05-20	0
11452900	2016-05-21	0
11452900	2016-05-22	0
11452900	2016-05-23	0
11452900	2016-05-24	0
11452900	2016-05-25	0
11452900	2016-05-26	0
11452900	2016-05-27	0
11452900	2016-05-28	0
11452900	2016-05-29	0
11452900	2016-05-30	0
11452900	2016-05-31	0
11452900	2016-06-01	0
11452900	2016-06-02	0
11452900	2016-06-03	0
11452900	2016-06-04	0
11452900	2016-06-05	0
11452900	2016-06-06	0
11452900	2016-06-07	0
11452900	2016-06-08	0
11452900	2016-06-09	0
11452900	2016-06-10	0
11452900	2016-06-11	0
11452900	2016-06-12	0
11452900	2016-06-13	0
11452900	2016-06-14	0
11452900	2016-06-15	0
11452900	2016-06-16	0
11452900	2016-06-17	0
11452900	2016-06-18	0
11452900	2016-06-19	0
11452900	2016-06-20	0
11452900	2016-06-21	0
11452900	2016-06-22	0
11452900	2016-06-23	0
11452900	2016-06-24	0
11452900	2016-06-25	0
11452900	2016-06-26	0
11452900	2016-06-27	0
11452900	2016-06-28	0
11452900	2016-06-29	0
11452900	2016-06-30	0
11452900	2016-07-01	0
11452900	2016-07-02	0
11452900	2016-07-03	0
11452900	2016-07-04	0
11452900	2016-07-05	0
11452900	2016-07-06	0
11452900	2016-07-07	0
11452900	2016-07-08	0
11452900	2016-07-09	0
11452900	2016-07-10	0
