Dates	Time	Flow	fTHg
10d	8s	6n	6n
2016-01-20	13:30	476	8.7
2016-01-23	11:00	56	6.3
2016-01-24	9:38	117	5.5
2016-02-02	15:00	498	4.4
2016-02-03	14:00	430	6.6
2016-02-04	12:40	256	7.5
2016-03-07	13:40	541	7.1
2016-03-08	14:20	551	11
2016-03-10	15:49	663	8.4
2016-03-12	13:23	4378	8.7
2016-03-13	12:15	3688	8.9
2016-03-14	12:44	3190	7.3
2016-03-15	12:25	2637	6.5
2016-03-17	13:35	2840	4.0
2016-04-06	13:00	473	2.8
2016-12-15	16:40	79	5.9
2016-12-16	17:20	233	3.6
2017-01-05	14:45	205	3.7
2017-01-09	17:30	12451	7.3
2017-01-10	14:30	3801	7.8
2017-01-11	16:00	13750	7.4
2017-01-14	15:35	3891	5.4
2017-01-19	12:30	6730	2.5
2017-01-20	10:45	6730	5.0
2017-01-21	9:25	10109	5.6
2017-01-23	11:55	9896	5.6
2017-01-26	11:30	3453	2.5
2017-02-01	13:00	3053	1.5
2017-02-08	13:50	11060	5.2
2017-02-10	14:45	11505	5.6
2017-02-21	13:25	13460	3.6
2017-03-16	15:35	2942	1.7
2017-04-04	15:44	259	1.8
2017-04-26	14:30	223	2.0
