Dates	Time	Flow	wwTHg
10d	8s	6n	6n
2016-01-20	13:30	476	41.2
2016-01-23	11:00	57.7	18.3
2016-01-24	8:40	114	11.7
2016-02-02	15:00	498	27.3
2016-02-03	14:00	430	33.1
2016-02-04	12:40	256	92.6
2016-03-07	13:40	541	192
2016-03-08	14:20	551	199
2016-03-09	14:00	856	74.9
2016-03-10	15:40	654	40.9
2016-03-12	14:20	4465	123
2016-03-13	13:10	3732	74.3
2016-03-14	13:30	3176	76.9
2016-03-15	13:20	2598	54.8
2016-03-17	14:20	2858	33.2
2016-04-06	13:00	473	8.5
2016-12-15	16:40	79.2	11.1
2016-12-16	17:20	233	42.3
2016-12-17	16:00	0.6	70.5
2017-01-09	17:50	12332	500
2017-01-10	15:40	3859	153
2017-01-11	16:40	13770	435
2017-02-01	14:10	3031	20.8
2017-02-08	14:40	10858	203
2017-02-10	15:20	11505	273
2017-02-21	13:50	13499	321
2017-03-16	16:40	2942	15.9
2017-04-04	15:50	259	8.3
2017-04-26	14:30	223	6.7
2018-03-22	10:30	86.2	6.2
2018-04-08	12:50	350	22.4
