Dates	Time	Flow	PSand	RSand
10d	8s	6n	6n	2s
2016-01-20	13:30	476	0.5	<
2016-01-23	11:00	56.1	0.5	
2016-01-24	8:40	55	0.5	<
2016-02-02	15:00	498	2.2	
2016-02-03	14:00	430	0.8	
2016-02-04	12:40	256	2.1	
2016-03-07	13:40	541	0.5	<
2016-03-08	14:20	551	0.5	<
2016-03-09	14:00	556	0.5	<
2016-03-10	15:40	549	0.5	<
2016-03-12	14:20	589	0.5	<
2016-03-13	13:10	583	0.5	<
2016-03-14	13:30	576	0.5	<
2016-03-15	13:20	568	2.4	
2016-03-17	14:20	553	2.2	
2016-04-06	13:00	473	0.9	
2016-12-15	16:40	79.2	0.5	<
2016-12-16	17:20	233	1.9	
2016-12-17	16:00	0.6	0.5	<
2017-01-09	17:50	0.7	0.5	<
2017-01-10	15:40	0.7	0.5	<
2017-01-11	16:40	0.7	0.5	<
2017-02-01	14:10	0.7	0.9	
2017-02-08	14:40	0.7	0.5	<
2017-02-10	15:20	0.7	0.5	<
2017-02-21	13:50	0.7	0.5	<
2017-03-16	16:40	236	0.5	<
2017-04-04	15:50	232	1.6	
2017-04-26	14:30	223	1.4	
2018-03-22	10:30	86.2	0.5	<
2018-04-08	12:50	350	1.1	
